variant,outcome,excluded_iso3,n_excluded,term,coef,se_hc3,p_hc3,n,r2
exclude_cooks_d_gt_4_over_n,broad_pct,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,imf_aipi_index_2023_z,0.6146638974131202,1.749471969996847,0.7253313963666838,129,0.794114044229566
exclude_cooks_d_gt_4_over_n,broad_pct,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,access_assets_z,2.0632320957821366,0.7620820091244785,0.006782020056816357,129,0.794114044229566
exclude_cooks_d_gt_4_over_n,broad_pct,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,policy_intensity_z,1.9562054775093123,0.7632324613960553,0.010375611946124921,129,0.794114044229566
exclude_cooks_d_gt_4_over_n,broad_pct,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,log_population_z,-0.6625685595123982,0.5223357199458436,0.20462922222934488,129,0.794114044229566
exclude_cooks_d_gt_4_over_n,broad_logit,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,institutional_capacity_z,0.3609236189469786,0.08891862835566407,4.927641638724049e-05,129,0.7981000275351124
exclude_cooks_d_gt_4_over_n,broad_logit,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,imf_aipi_index_2023_z,-0.0088254830993074,0.10824422802258961,0.9350180345959329,129,0.7981000275351124
exclude_cooks_d_gt_4_over_n,broad_logit,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,access_assets_z,0.22277553050975268,0.04840688152301169,4.181601374099038e-06,129,0.7981000275351124
exclude_cooks_d_gt_4_over_n,broad_logit,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,policy_intensity_z,0.1065906465481126,0.0482707079732633,0.027231389327389173,129,0.7981000275351124
exclude_cooks_d_gt_4_over_n,broad_logit,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,log_population_z,-0.03007359498816262,0.03477463195039285,0.3871407842334228,129,0.7981000275351124
exclude_cooks_d_gt_4_over_n,conversion_gap_pc,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,capacity_bundle_pc1_z,0.5695717551750775,0.726333103828333,0.43293784143083525,129,0.2895949537303193
exclude_cooks_d_gt_4_over_n,conversion_gap_pc,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,capacity_bundle_pc2_z,-3.15729615325427,0.45396716576895724,3.5281269411047074e-12,129,0.2895949537303193
exclude_cooks_d_gt_4_over_n,conversion_gap_pc,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,policy_intensity_z,0.7631372540793144,0.7716075232560431,0.322652100105951,129,0.2895949537303193
exclude_leverage_gt_2p_over_n,broad_pct,MYS; CHN; IND; BLR; RUS,5,institutional_capacity_z,4.927804440310729,1.9641199676736572,0.012110360037647773,133,0.7108374523365546
exclude_leverage_gt_2p_over_n,broad_pct,MYS; CHN; IND; BLR; RUS,5,imf_aipi_index_2023_z,1.956273422534066,2.3501817435971444,0.40518749032727164,133,0.7108374523365546
exclude_leverage_gt_2p_over_n,broad_pct,MYS; CHN; IND; BLR; RUS,5,access_assets_z,2.8702205759980504,1.0890276657979436,0.00839933872645287,133,0.7108374523365546
exclude_leverage_gt_2p_over_n,broad_pct,MYS; CHN; IND; BLR; RUS,5,policy_intensity_z,1.4895287273298654,0.9464767354893014,0.1155425781953151,133,0.7108374523365546
exclude_leverage_gt_2p_over_n,broad_pct,MYS; CHN; IND; BLR; RUS,5,log_population_z,-0.5377647200943775,0.6850030364196995,0.43242161200917095,133,0.7108374523365546
exclude_leverage_gt_2p_over_n,broad_logit,MYS; CHN; IND; BLR; RUS,5,institutional_capacity_z,0.26879175290269836,0.11387807853078644,0.01825786011389746,133,0.7555470131654718
exclude_leverage_gt_2p_over_n,broad_logit,MYS; CHN; IND; BLR; RUS,5,imf_aipi_index_2023_z,0.10693621648163332,0.13638354015523738,0.4329905444019376,133,0.7555470131654718
exclude_leverage_gt_2p_over_n,broad_logit,MYS; CHN; IND; BLR; RUS,5,access_assets_z,0.2612428757584652,0.060858789108217,1.7658725238519856e-05,133,0.7555470131654718
exclude_leverage_gt_2p_over_n,broad_logit,MYS; CHN; IND; BLR; RUS,5,policy_intensity_z,0.06874471739399929,0.05793953259907549,0.23542856654589028,133,0.7555470131654718
exclude_leverage_gt_2p_over_n,broad_logit,MYS; CHN; IND; BLR; RUS,5,log_population_z,-0.023662579571690108,0.043234851679321215,0.5841703362001502,133,0.7555470131654718
exclude_leverage_gt_2p_over_n,conversion_gap_pc,MYS; CHN; IND; BLR; RUS,5,capacity_bundle_pc1_z,1.2180907089140138,0.9105242460933541,0.18096473152708303,133,0.1871273358684854
exclude_leverage_gt_2p_over_n,conversion_gap_pc,MYS; CHN; IND; BLR; RUS,5,capacity_bundle_pc2_z,-2.7025135417841244,0.5877354922639524,4.261978567006495e-06,133,0.1871273358684854
exclude_leverage_gt_2p_over_n,conversion_gap_pc,MYS; CHN; IND; BLR; RUS,5,policy_intensity_z,0.7627762303954999,0.9225757425374501,0.4083562020674606,133,0.1871273358684854
